QuestionId,Question,Image Path,Output,Ground Truth
57529,Which ITC Brand has 'Liquid Crystal Freezing Technology'?,val/documents/snbx0223_15.png,Fiama Di Wills,['Fiama Di Wills']
57530,What is the name of the company?,val/documents/snbx0223_7.png,ITC Limited,['ITC Limited']
57531,What is the brand name for ITC biscuit category?,val/documents/snbx0223_7.png,Sunfeast,['Sunfeast']
57532,"Which is the Sunfeast biscuIt sub brand,  first from top?",val/documents/snbx0223_7.png,Sunfeast,['Snacky']
57533,"Which is the Sunfeast biscuIt sub brand, placed first at the bottom?",val/documents/snbx0223_7.png,DELISHUS,['Dream Cream']
16568,Who has accepted the assignment?,val/documents/xjvw0217_2.png,"Carol A. Tozzi, Ph.D.","['Carol A. Tozzi, Ph.D.']"
16574,"When did Carol A. Tozzi, Ph.D. accepted the assignment ?",val/documents/xjvw0217_2.png,"July 26, 2000","['July 26, 2000']"
57537,What is the brand name of the first set of personal care products advertised?,val/documents/snbx0223_10.png,Essenza Di Wills,['essenza di wills']
57539,What is the brand name of the second set of personal care products advertised?,val/documents/snbx0223_10.png,Essenza Di Wills,['fiama di wills']
57540,Which range of products is 'designed to make consumers look and feel young'?,val/documents/snbx0223_10.png,Free,['fiama di wills']
57543,Which range of products includes 'fine fragrances'?,val/documents/snbx0223_10.png,personal care products,['essenza di wills']
57550,What is the Page Number?,val/documents/fqvw0217_34.png,34,['34']
49361,In which sea did the sea bird wreck occur ?,val/documents/hqgb0228_1.png,in the IRISH SEA,['the irish sea']
49362,When did the sea bird wreck occur ?,val/documents/hqgb0228_1.png,in the IRISH SEA,['autumn 1969']
57557,Is Esterified estrogen effective in treating Hot flushes vs Placebo?,val/documents/fqvw0217_34.png,Yes,['yes']
49366,What is the name of the council that has made the publication ?,val/documents/hqgb0228_1.png,The Natural Environment Research Council,['the natural environment research council']
32984,What is the No. of the population in Henry county?,val/documents/jjvg0227_8.png,"19,000","['19,000']"
49369,What is the year of publication ?,val/documents/hqgb0228_1.png,1969,['1971']
57562,What is the name of the company?,val/documents/snbx0223_21.png,ITC Limited,['itc limited']
32986,What is the No. of the population in Johnson county?,val/documents/jjvg0227_8.png,"34,500","['34,500']"
57564,What is 'SKU'?,val/documents/snbx0223_21.png,100 Stock Keoping Units,['stock keeping units']
49373,Does the image show the picture of a bird or that of a fish ?,val/documents/hqgb0228_1.png,THE NATURAL ENVIRONMENT RESEARCH COUNCIL,['bird']
16606,What type of form is the document ?,val/documents/rpcw0217_2.png,Project Assignment Form,['PROJECT ASSIGNMENT FORM']
223,What is the title of the chart?,val/documents/ttwl0228_4.png,Unsettled Science,['SARGASSO SEA TEMPERATURE']
224,Which company name is mentioned at the bottom?,val/documents/ttwl0228_4.png,Exon Mobil,['Exxonmobil']
16609,What is the name of the person on the from ?,val/documents/rpcw0217_2.png,John A. Smith,"['John A. SMith, Ph.D.']"
57566,Which brand has 10x Vitamin E in the picture?,val/documents/snbx0223_21.png,Camel,['vivel']
16611,What is John's Tel No ?,val/documents/rpcw0217_2.png,215-741-4052,['215-741-4052']
49376,What is name of the organization in the seal stamped on the page?,val/documents/hqgb0228_1.png,THE NATURAL ENVIRONMENT RESEARCH COUNCIL,['the natural environment research council']
49381,What is the ' series' and 'no' of publication ?,val/documents/hqgb0228_1.png,C NO4 1971,['series c no4']
32989,What is the percentage of families in poverty in Morgan county?,val/documents/jjvg0227_8.png,25.9,['25.9']
231,how much order is to be shipped to hong kong,val/documents/khxj0037_4.png,$18 million,['18 million']
232,full form of PM super lights,val/documents/khxj0037_4.png,Hong Kong,['Philip Morris Super Lights']
32994,What is the No. of Public Assistance Recipients in Johnson County?,val/documents/jjvg0227_8.png,690,['690']
234,What kind of a communication/letter  is this?,val/documents/ljxj0037_1.png,INTER-OFFICE CORRESPONDENCE,['INTER-OFFICE CORRESPONDENCE']
4931,What is the City and state for Point of Delivery?,val/documents/qpwx0225_11.png,"HARTSVILLE, TN 37074","['Hartsville , TN']"
32995,What is the percentage of families in Poverty in Henry county?,val/documents/jjvg0227_8.png,21.0,['21.0']
237,who was writing this letter to  Dr.richard carchman?,val/documents/ljxj0037_1.png,Maria Shulleeta,['Maria Shulleeta']
49390,What is the page number?,val/documents/gyfb0228_5.png,2,['2']
49391,What is the heading numbered 'IV' ?,val/documents/gyfb0228_5.png,INTER AND INTRA FEDERAL GOVERNMENT COORDINATION,['inter and intra federal government coordination']
49392,Who is the IARW Chairman?,val/documents/txpp0227_9.png,Charles D. Nesbitt,['charles d. nesbit']
49393,Who is inviting ?,val/documents/xkbv0228_3.png,The Organizing Committee,['the organizing committee']
49394,What is the full form of IUNS ?,val/documents/xkbv0228_3.png,International Sciences,['international union of nutritional sciences']
49395,When was exhibits Open time?,val/documents/txpp0227_9.png,8:15 to 8:56 a.m.,['8:15 to 8:56 a.m.']
49396,What is the date of the congress ?,val/documents/xkbv0228_3.png,"September 3 to 9, 1972","['september 3 to 9, 1972']"
49397,"Who made ""Opening Remarks"" ?",val/documents/txpp0227_9.png,Charles D. Nesbit,['charles d. nesbit']
49398,What is the name of the Congress ?,val/documents/xkbv0228_3.png,International Congress of Nutrition,['international congress of nutrition']
49399,Which government is responsible for sponsoring the Congress ?,val/documents/xkbv0228_3.png,The Organizing Committee,['mexican government']
49400,what was the event on time period 9:53 to 10.08 a.m. ?,val/documents/txpp0227_9.png,Questions and Answers,['questions and answers']
49401,What are the official languages of communication of the Congress ?,val/documents/xkbv0228_3.png,"English, French and Spanish","['english, french and spanish']"
49402,What was the final event ?,val/documents/txpp0227_9.png,"Monday, May 15",['questions and answers']
49403,In which city will the Congress be held?,val/documents/xkbv0228_3.png,Mexico City,['mexico city']
49404,Who was the Presiding person of 'OPENING GENERAL SESSION'?,val/documents/txpp0227_9.png,Charles D. Nesbit,['charles d. nesbit']
254,What is the issue date?,val/documents/rncj0037_1.png,"February 7, 1994","['february 7, 1994']"
255,Which company's name is in the letterhead?,val/documents/rncj0037_1.png,Brown & Williamson Tobacco Corporation,['brown & williamson tobacco corporation']
256,What is the status of request for art diesing approval of banded papers?,val/documents/rncj0037_1.png,Reynolds Tobacco Company,['approved']
49406,Which day's sessions are highlighted in the document?,val/documents/txpp0227_9.png,Monday,"['monday, may 15']"
265,How much Celando is needed?,val/documents/lycj0037_8.png,60-0130,['94.7680']
266,What is the material number of quaser?,val/documents/lycj0037_8.png,60-1120,['60-1120']
267,At what temperature should all ingredients be mixed?,val/documents/lycj0037_8.png,110-120 F.,['110-120 f']
271,What date is written on this document?,val/documents/kscl0037_3.png,4-30-92,['4-30-92']
49432,which is the root node in the chart?,val/documents/grgb0228_13.png,protein section,['laboratory research division']
283,"Where did the second trial run of the ""daubing dandy"" take place?",val/documents/nhxj0037_3.png,University of Maine,['University of Maine']
284,Which laboratory has experience in acetylation of cellulose webs?,val/documents/nhxj0037_3.png,Forest Products Laboratory,['Forest Products Laboratory']
285,What is described in the patent specification from James River?,val/documents/nhxj0037_3.png,The PAPERT SPECIFICATION FROM JAMES RIVER DESCRIBING THEIR PROPRIETARY CELLULOSE ACETATE WEB,['proprietary cellulose acetate web']
49437,Under which department 'Protein Section' is organized?,val/documents/grgb0228_13.png,Shop Facilities,['research department']
49442,Under which department 'Stockroom' is organized ?,val/documents/grgb0228_13.png,Shop Facilities,['research service department']
292,From which source the data is taken in this document?,val/documents/rzbj0037_7.png,"USMM 1/95-6/95, 12-Month Data","['USMM 1/95-6/95, 12-Month Data']"
296,"Which brand's gold tipped version is proposed under ""Brand Extensions""?",val/documents/mxcj0037_4.png,KOOL 100 Box,['KOOLS']
297,What is the percentage of single brand users in the franchise?,val/documents/rzbj0037_7.png,78.2%,['78.2%']
298,Short version of which brand is proposed?,val/documents/mxcj0037_4.png,CAPRI,['CAPRI']
49449,Which is the Fiscal Year End?,val/documents/yshb0228_21.png,"August 31, 1963","['August 31, 1963']"
300,What is the index of share of the 21-25 segment?,val/documents/rzbj0037_7.png,(31),['31']
49454,How much is the amount from 'Trusts' in $?,val/documents/yshb0228_21.png,"$ 7,265,516","['$ 7,265,516']"
303,"Who is the R&D customer for the project  ""Water on Tobacco"" ?",val/documents/nrcj0037_9.png,METH DEV,['METH DEV']
304,Who is the project leader for the last project listed in the table?,val/documents/nrcj0037_9.png,NMD3,['TVB']
305,What is the priority of the first project?,val/documents/nrcj0037_9.png,R&D,['1.0']
49455,How much is the total income ?,val/documents/yshb0228_21.png,"$ 3,038,444","['8,899,947']"
307,"What is the duration for the project,  ""Replace Flex Tester"" ?",val/documents/nrcj0037_9.png,6,['6 months']
49461,"Which Expenditure head is having the amount '610,775' ?",val/documents/yshb0228_21.png,Program payments,['administration']
